Category,CategoryLevel1,CategoryLevel2,Legend,LegendLevel1,LegendLevel2,Group,GroupLevel1,GroupLevel2,Start,End,StartDate,EndDate,StartHierarchy,EndHierarchy,StartLabel,EndLabel
Iberian Crown 127,Early Modern,Iberian Crown,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Early,1608,1610,1608-07-10,1610-02-12,1608 Q3,1610 Q1,1608-07,1610-02
Levantine Sultanate 128,Early Modern,Levantine Sultanate,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Middle,1611,1612,1611-02-21,1612-11-01,1611 Q1,1612 Q4,1611-02,1612-11
Maghreb Union 129,Early Modern,Maghreb Union,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Late,1615,1617,1615-09-05,1617-06-22,1615 Q3,1617 Q2,1615-09,1617-06
Nile Dynasty 130,Early Modern,Nile Dynasty,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Early,1618,1620,1618-04-16,1620-03-09,1618 Q2,1620 Q1,1618-04,1620-03
Nordic Pact 131,Early Modern,Nordic Pact,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Middle,1622,1624,1622-11-27,1624-11-26,1622 Q4,1624 Q4,1622-11,1624-11
Persian Alliance 132,Early Modern,Persian Alliance,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Late,1625,1627,1625-06-11,1627-07-18,1625 Q2,1627 Q3,1625-06,1627-07
Saharan Confederacy 133,Early Modern,Saharan Confederacy,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Early,1628,1630,1628-01-22,1630-04-05,1628 Q1,1630 Q2,1628-01,1630-04
Silk Road Polity 134,Early Modern,Silk Road Polity,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Middle,1632,1634,1632-08-06,1634-11-25,1632 Q3,1634 Q4,1632-08,1634-11
Steppe Horde 135,Early Modern,Steppe Horde,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Late,1635,1637,1635-03-17,1637-08-11,1635 Q1,1637 Q3,1635-03,1637-08
Andean State 136,Early Modern,Andean State,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Early,1639,1642,1639-10-01,1642-04-03,1639 Q4,1642 Q2,1639-10,1642-04
Amazonian Realm 137,Early Modern,Amazonian Realm,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Middle,1642,1644,1642-05-12,1644-12-19,1642 Q2,1644 Q4,1642-05,1644-12
Mississippian Coalition 138,Early Modern,Mississippian Coalition,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Late,1645,1648,1645-12-23,1648-09-07,1645 Q4,1648 Q3,1645-12,1648-09
Mesoamerican Alliance 139,Early Modern,Mesoamerican Alliance,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Early,1649,1652,1649-07-07,1652-04-28,1649 Q3,1652 Q2,1649-07,1652-04
Caribbean Domain 140,Early Modern,Caribbean Domain,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Middle,1652,1655,1652-02-18,1655-01-16,1652 Q1,1655 Q1,1652-02,1655-01
Han Revival 141,Early Modern,Han Revival,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Late,1656,1659,1656-09-02,1659-09-07,1656 Q3,1659 Q3,1656-09,1659-09
Yamato Shogunate 142,Early Modern,Yamato Shogunate,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Early,1659,1662,1659-04-13,1662-05-24,1659 Q2,1662 Q2,1659-04,1662-05
Deccan Empire 143,Early Modern,Deccan Empire,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Middle,1662,1666,1662-11-24,1666-02-10,1662 Q4,1666 Q1,1662-11,1666-02
Bengal Maritime League 144,Early Modern,Bengal Maritime League,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Late,1666,1669,1666-06-08,1669-10-01,1666 Q2,1669 Q4,1666-06,1669-10
Malay Sultanate 145,Early Modern,Malay Sultanate,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Early,1669,1672,1669-01-19,1672-06-20,1669 Q1,1672 Q2,1669-01,1672-06
Javan Principalities 146,Early Modern,Javan Principalities,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Middle,1673,1677,1673-08-03,1677-02-08,1673 Q3,1677 Q1,1673-08,1677-02
Austral Dominion 147,Early Modern,Austral Dominion,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Late,1676,1679,1676-03-14,1679-10-27,1676 Q1,1679 Q4,1676-03,1679-10
Pacific Archipelago Council 148,Early Modern,Pacific Archipelago Council,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Early,1679,1683,1679-10-25,1683-07-15,1679 Q4,1683 Q3,1679-10,1683-07
Baltic Trade Union 149,Early Modern,Baltic Trade Union,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Middle,1683,1687,1683-05-09,1687-03-05,1683 Q2,1687 Q1,1683-05,1687-03
Rhine Compact 150,Early Modern,Rhine Compact,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Late,1686,1690,1686-12-20,1690-11-22,1686 Q4,1690 Q4,1686-12,1690-11
Anatolian League 151,Early Modern,Anatolian League,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Early,1690,1694,1690-07-04,1694-07-13,1690 Q3,1694 Q3,1690-07,1694-07
Atlantic Republic 152,Early Modern,Atlantic Republic,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Middle,1693,1697,1693-02-15,1697-04-02,1693 Q1,1697 Q2,1693-02,1697-04
Carpathian Kingdom 153,Early Modern,Carpathian Kingdom,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Late,1696,1700,1696-09-26,1700-12-19,1696 Q3,1700 Q4,1696-09,1700-12
Danube Federation 154,Early Modern,Danube Federation,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Early,1700,1704,1700-04-10,1704-08-08,1700 Q2,1704 Q3,1700-04,1704-08
Eurasian Khanate 155,Early Modern,Eurasian Khanate,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Middle,1703,1708,1703-11-21,1708-04-26,1703 Q4,1708 Q2,1703-11,1708-04
Hellenic Commonwealth 156,Early Modern,Hellenic Commonwealth,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Late,1707,1711,1707-06-05,1711-12-16,1707 Q2,1711 Q4,1707-06,1711-12
Iberian Crown 157,Early Modern,Iberian Crown,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Early,1710,1714,1710-01-16,1714-09-04,1710 Q1,1714 Q3,1710-01,1714-09
Levantine Sultanate 158,Early Modern,Levantine Sultanate,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Middle,1713,1718,1713-08-27,1718-05-22,1713 Q3,1718 Q2,1713-08,1718-05
Maghreb Union 159,Early Modern,Maghreb Union,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Late,1717,1722,1717-03-11,1722-01-10,1717 Q1,1722 Q1,1717-03,1722-01
Nile Dynasty 160,Early Modern,Nile Dynasty,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Early,1720,1725,1720-10-22,1725-09-29,1720 Q4,1725 Q3,1720-10,1725-09
Nordic Pact 161,Early Modern,Nordic Pact,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Middle,1724,1729,1724-05-06,1729-05-20,1724 Q2,1729 Q2,1724-05,1729-05
Persian Alliance 162,Early Modern,Persian Alliance,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Late,1727,1733,1727-12-17,1733-02-05,1727 Q4,1733 Q1,1727-12,1733-02
Saharan Confederacy 163,Early Modern,Saharan Confederacy,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Early,1730,1735,1730-07-01,1735-09-27,1730 Q3,1735 Q3,1730-07,1735-09
Silk Road Polity 164,Early Modern,Silk Road Polity,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Middle,1734,1739,1734-02-12,1739-06-17,1734 Q1,1739 Q2,1734-02,1739-06
Steppe Horde 165,Early Modern,Steppe Horde,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Late,1737,1743,1737-09-23,1743-03-04,1737 Q3,1743 Q1,1737-09,1743-03
Andean State 166,Early Modern,Andean State,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Early,1741,1746,1741-04-07,1746-10-23,1741 Q2,1746 Q4,1741-04,1746-10
Amazonian Realm 167,Early Modern,Amazonian Realm,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Middle,1744,1750,1744-11-18,1750-07-12,1744 Q4,1750 Q3,1744-11,1750-07
Mississippian Coalition 168,Early Modern,Mississippian Coalition,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Late,1747,1753,1747-06-02,1753-03-01,1747 Q2,1753 Q1,1747-06,1753-03
Mesoamerican Alliance 169,Early Modern,Mesoamerican Alliance,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Early,1751,1756,1751-01-13,1756-11-18,1751 Q1,1756 Q4,1751-01,1756-11
Caribbean Domain 170,Early Modern,Caribbean Domain,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Middle,1754,1760,1754-08-24,1760-08-05,1754 Q3,1760 Q3,1754-08,1760-08
Han Revival 171,Early Modern,Han Revival,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Late,1758,1764,1758-03-08,1764-03-26,1758 Q1,1764 Q1,1758-03,1764-03
Yamato Shogunate 172,Early Modern,Yamato Shogunate,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Early,1761,1762,1761-10-19,1762-03-15,1761 Q4,1762 Q1,1761-10,1762-03
Deccan Empire 173,Early Modern,Deccan Empire,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Middle,1764,1764,1764-05-03,1764-11-03,1764 Q2,1764 Q4,1764-05,1764-11
Bengal Maritime League 174,Early Modern,Bengal Maritime League,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Late,1768,1769,1768-12-14,1769-07-23,1768 Q4,1769 Q3,1768-12,1769-07
Malay Sultanate 175,Early Modern,Malay Sultanate,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Early,1771,1772,1771-07-25,1772-04-08,1771 Q3,1772 Q2,1771-07,1772-04
Javan Principalities 176,Early Modern,Javan Principalities,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Middle,1775,1775,1775-02-09,1775-12-01,1775 Q1,1775 Q4,1775-02,1775-12
Austral Dominion 177,Early Modern,Austral Dominion,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Late,1778,1779,1778-09-20,1779-08-18,1778 Q3,1779 Q3,1778-09,1779-08
Pacific Archipelago Council 178,Early Modern,Pacific Archipelago Council,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Early,1781,1782,1781-04-04,1782-04-08,1781 Q2,1782 Q2,1781-04,1782-04
Baltic Trade Union 179,Early Modern,Baltic Trade Union,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Middle,1785,1786,1785-11-15,1786-12-26,1785 Q4,1786 Q4,1785-11,1786-12
Rhine Compact 180,Early Modern,Rhine Compact,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Late,1788,1789,1788-06-26,1789-09-12,1788 Q2,1789 Q3,1788-06,1789-09
Anatolian League 181,Early Modern,Anatolian League,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Early,1792,1793,1792-01-10,1793-05-04,1792 Q1,1793 Q2,1792-01,1793-05
Atlantic Republic 182,Early Modern,Atlantic Republic,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Middle,1795,1797,1795-08-21,1797-01-19,1795 Q3,1797 Q1,1795-08,1797-01
Carpathian Kingdom 183,Early Modern,Carpathian Kingdom,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Late,1798,1799,1798-03-05,1799-09-10,1798 Q1,1799 Q3,1798-03,1799-09
Danube Federation 184,Industrial,Danube Federation,Oceania,Pacific,Austral Pacific,INDUSTRIAL WORLD,Industrial,Transition,1802,1804,1802-10-16,1804-05-29,1802 Q4,1804 Q2,1802-10,1804-05
Eurasian Khanate 185,Industrial,Eurasian Khanate,Americas,Americas,Western Hemisphere,INDUSTRIAL WORLD,Industrial,Expansion,1805,1807,1805-05-27,1807-02-14,1805 Q2,1807 Q1,1805-05,1807-02
Hellenic Commonwealth 186,Industrial,Hellenic Commonwealth,Europe,Europe,Western Eurasia,INDUSTRIAL WORLD,Industrial,Consolidation,1809,1811,1809-12-11,1811-10-07,1809 Q4,1811 Q4,1809-12,1811-10
Iberian Crown 187,Industrial,Iberian Crown,East Asia,Asia,Eastern Asia,INDUSTRIAL WORLD,Industrial,Transition,1812,1814,1812-07-22,1814-06-24,1812 Q3,1814 Q2,1812-07,1814-06
Levantine Sultanate 188,Industrial,Levantine Sultanate,South Asia,Asia,Indian Subcontinent,INDUSTRIAL WORLD,Industrial,Expansion,1815,1817,1815-02-06,1817-02-14,1815 Q1,1817 Q1,1815-02,1817-02
Maghreb Union 189,Industrial,Maghreb Union,Middle East,Afro Eurasia,Near East,INDUSTRIAL WORLD,Industrial,Consolidation,1819,1821,1819-09-17,1821-11-01,1819 Q3,1821 Q4,1819-09,1821-11
Nile Dynasty 190,Industrial,Nile Dynasty,Sub Saharan Africa,Africa,Central and Southern Africa,INDUSTRIAL WORLD,Industrial,Transition,1822,1824,1822-04-01,1824-06-22,1822 Q2,1824 Q2,1822-04,1824-06
Nordic Pact 191,Industrial,Nordic Pact,Steppe,Eurasia,Inner Eurasia,INDUSTRIAL WORLD,Industrial,Expansion,1826,1829,1826-11-12,1829-03-11,1826 Q4,1829 Q1,1826-11,1829-03
Persian Alliance 192,Industrial,Persian Alliance,Oceania,Pacific,Austral Pacific,INDUSTRIAL WORLD,Industrial,Consolidation,1829,1831,1829-06-23,1831-11-27,1829 Q2,1831 Q4,1829-06,1831-11
Saharan Confederacy 193,Industrial,Saharan Confederacy,Americas,Americas,Western Hemisphere,INDUSTRIAL WORLD,Industrial,Transition,1832,1834,1832-01-07,1834-07-19,1832 Q1,1834 Q3,1832-01,1834-07
Silk Road Polity 194,Industrial,Silk Road Polity,Europe,Europe,Western Eurasia,INDUSTRIAL WORLD,Industrial,Expansion,1836,1839,1836-08-18,1839-04-06,1836 Q3,1839 Q2,1836-08,1839-04
Steppe Horde 195,Industrial,Steppe Horde,East Asia,Asia,Eastern Asia,INDUSTRIAL WORLD,Industrial,Consolidation,1839,1841,1839-03-02,1841-11-24,1839 Q1,1841 Q4,1839-03,1841-11
Andean State 196,Industrial,Andean State,South Asia,Asia,Indian Subcontinent,INDUSTRIAL WORLD,Industrial,Transition,1843,1846,1843-10-13,1846-08-13,1843 Q4,1846 Q3,1843-10,1846-08
Amazonian Realm 197,Industrial,Amazonian Realm,Middle East,Afro Eurasia,Near East,INDUSTRIAL WORLD,Industrial,Expansion,1846,1849,1846-05-24,1849-04-30,1846 Q2,1849 Q2,1846-05,1849-04
Mississippian Coalition 198,Industrial,Mississippian Coalition,Sub Saharan Africa,Africa,Central and Southern Africa,INDUSTRIAL WORLD,Industrial,Consolidation,1849,1852,1849-12-08,1852-12-21,1849 Q4,1852 Q4,1849-12,1852-12
Mesoamerican Alliance 199,Industrial,Mesoamerican Alliance,Steppe,Eurasia,Inner Eurasia,INDUSTRIAL WORLD,Industrial,Transition,1853,1856,1853-07-19,1856-09-07,1853 Q3,1856 Q3,1853-07,1856-09
Caribbean Domain 200,Industrial,Caribbean Domain,Oceania,Pacific,Austral Pacific,INDUSTRIAL WORLD,Industrial,Expansion,1856,1859,1856-02-03,1859-05-01,1856 Q1,1859 Q2,1856-02,1859-05
Han Revival 201,Industrial,Han Revival,Americas,Americas,Western Hemisphere,INDUSTRIAL WORLD,Industrial,Consolidation,1860,1864,1860-09-14,1864-01-17,1860 Q3,1864 Q1,1860-09,1864-01
Yamato Shogunate 202,Industrial,Yamato Shogunate,Europe,Europe,Western Eurasia,INDUSTRIAL WORLD,Industrial,Transition,1863,1866,1863-04-25,1866-10-03,1863 Q2,1866 Q4,1863-04,1866-10
Deccan Empire 203,Industrial,Deccan Empire,East Asia,Asia,Eastern Asia,INDUSTRIAL WORLD,Industrial,Expansion,1866,1870,1866-11-09,1870-05-26,1866 Q4,1870 Q2,1866-11,1870-05
Bengal Maritime League 204,Industrial,Bengal Maritime League,South Asia,Asia,Indian Subcontinent,INDUSTRIAL WORLD,Industrial,Consolidation,1870,1874,1870-06-20,1874-02-10,1870 Q2,1874 Q1,1870-06,1874-02
Malay Sultanate 205,Industrial,Malay Sultanate,Middle East,Afro Eurasia,Near East,INDUSTRIAL WORLD,Industrial,Transition,1873,1876,1873-01-04,1876-10-03,1873 Q1,1876 Q4,1873-01,1876-10
Javan Principalities 206,Industrial,Javan Principalities,Sub Saharan Africa,Africa,Central and Southern Africa,INDUSTRIAL WORLD,Industrial,Expansion,1877,1881,1877-08-15,1881-06-20,1877 Q3,1881 Q2,1877-08,1881-06
Austral Dominion 207,Industrial,Austral Dominion,Steppe,Eurasia,Inner Eurasia,INDUSTRIAL WORLD,Industrial,Consolidation,1880,1884,1880-03-26,1884-03-07,1880 Q1,1884 Q1,1880-03,1884-03
Pacific Archipelago Council 208,Industrial,Pacific Archipelago Council,Oceania,Pacific,Austral Pacific,INDUSTRIAL WORLD,Industrial,Transition,1883,1887,1883-10-10,1887-10-28,1883 Q4,1887 Q4,1883-10,1887-10
Baltic Trade Union 209,Industrial,Baltic Trade Union,Americas,Americas,Western Hemisphere,INDUSTRIAL WORLD,Industrial,Expansion,1887,1891,1887-05-21,1891-07-15,1887 Q2,1891 Q3,1887-05,1891-07
Rhine Compact 210,Industrial,Rhine Compact,Europe,Europe,Western Eurasia,INDUSTRIAL WORLD,Industrial,Consolidation,1890,1895,1890-12-05,1895-03-07,1890 Q4,1895 Q1,1890-12,1895-03
Anatolian League 211,Industrial,Anatolian League,East Asia,Asia,Eastern Asia,INDUSTRIAL WORLD,Industrial,Transition,1894,1898,1894-07-16,1898-11-22,1894 Q3,1898 Q4,1894-07,1898-11
Atlantic Republic 212,Industrial,Atlantic Republic,South Asia,Asia,Indian Subcontinent,INDUSTRIAL WORLD,Industrial,Expansion,1897,1901,1897-02-27,1901-08-13,1897 Q1,1901 Q3,1897-02,1901-08
Carpathian Kingdom 213,Industrial,Carpathian Kingdom,Middle East,Afro Eurasia,Near East,INDUSTRIAL WORLD,Industrial,Consolidation,1900,1905,1900-09-11,1905-04-02,1900 Q3,1905 Q2,1900-09,1905-04
Danube Federation 214,Industrial,Danube Federation,Sub Saharan Africa,Africa,Central and Southern Africa,INDUSTRIAL WORLD,Industrial,Transition,1904,1908,1904-04-22,1908-12-18,1904 Q2,1908 Q4,1904-04,1908-12
Eurasian Khanate 215,Industrial,Eurasian Khanate,Steppe,Eurasia,Inner Eurasia,INDUSTRIAL WORLD,Industrial,Expansion,1907,1912,1907-11-06,1912-08-09,1907 Q4,1912 Q3,1907-11,1912-08
Hellenic Commonwealth 216,Industrial,Hellenic Commonwealth,Oceania,Pacific,Austral Pacific,INDUSTRIAL WORLD,Industrial,Consolidation,1911,1916,1911-06-17,1916-04-26,1911 Q2,1916 Q2,1911-06,1916-04
Iberian Crown 217,Industrial,Iberian Crown,Americas,Americas,Western Hemisphere,INDUSTRIAL WORLD,Industrial,Transition,1914,1918,1914-01-01,1918-12-18,1914 Q1,1918 Q4,1914-01,1918-12
Levantine Sultanate 218,Industrial,Levantine Sultanate,Europe,Europe,Western Eurasia,INDUSTRIAL WORLD,Industrial,Expansion,1917,1922,1917-08-12,1922-09-04,1917 Q3,1922 Q3,1917-08,1922-09
Maghreb Union 219,Industrial,Maghreb Union,East Asia,Asia,Eastern Asia,INDUSTRIAL WORLD,Industrial,Consolidation,1921,1926,1921-03-23,1926-05-22,1921 Q1,1926 Q2,1921-03,1926-05
Nile Dynasty 220,Industrial,Nile Dynasty,South Asia,Asia,Indian Subcontinent,INDUSTRIAL WORLD,Industrial,Transition,1924,1930,1924-10-07,1930-01-12,1924 Q4,1930 Q1,1924-10,1930-01
Nordic Pact 221,Industrial,Nordic Pact,Middle East,Afro Eurasia,Near East,INDUSTRIAL WORLD,Industrial,Expansion,1928,1933,1928-05-18,1933-09-29,1928 Q2,1933 Q3,1928-05,1933-09
Persian Alliance 222,Industrial,Persian Alliance,Sub Saharan Africa,Africa,Central and Southern Africa,INDUSTRIAL WORLD,Industrial,Consolidation,1931,1937,1931-12-02,1937-05-21,1931 Q4,1937 Q2,1931-12,1937-05
Saharan Confederacy 223,Industrial,Saharan Confederacy,Steppe,Eurasia,Inner Eurasia,INDUSTRIAL WORLD,Industrial,Transition,1934,1940,1934-07-13,1940-02-06,1934 Q3,1940 Q1,1934-07,1940-02
Silk Road Polity 224,Industrial,Silk Road Polity,Oceania,Pacific,Austral Pacific,INDUSTRIAL WORLD,Industrial,Expansion,1938,1943,1938-02-24,1943-10-27,1938 Q1,1943 Q4,1938-02,1943-10
Steppe Horde 225,Industrial,Steppe Horde,Americas,Americas,Western Hemisphere,INDUSTRIAL WORLD,Industrial,Consolidation,1941,1947,1941-09-08,1947-06-17,1941 Q3,1947 Q2,1941-09,1947-06
Andean State 226,Industrial,Andean State,Europe,Europe,Western Eurasia,INDUSTRIAL WORLD,Industrial,Transition,1945,1951,1945-04-19,1951-03-04,1945 Q2,1951 Q1,1945-04,1951-03
Amazonian Realm 227,Industrial,Amazonian Realm,East Asia,Asia,Eastern Asia,INDUSTRIAL WORLD,Industrial,Expansion,1948,1954,1948-11-03,1954-10-25,1948 Q4,1954 Q4,1948-11,1954-10
Mississippian Coalition 228,Contemporary,Mississippian Coalition,South Asia,Asia,Indian Subcontinent,CONTEMPORARY WORLD,Contemporary,Late,1951,1957,1951-06-14,1957-07-11,1951 Q2,1957 Q3,1951-06,1957-07
Mesoamerican Alliance 229,Contemporary,Mesoamerican Alliance,Middle East,Afro Eurasia,Near East,CONTEMPORARY WORLD,Contemporary,Early,1955,1955,1955-01-25,1955-06-30,1955 Q1,1955 Q2,1955-01,1955-06
Caribbean Domain 230,Contemporary,Caribbean Domain,Sub Saharan Africa,Africa,Central and Southern Africa,CONTEMPORARY WORLD,Contemporary,Middle,1958,1959,1958-08-09,1959-02-18,1958 Q3,1959 Q1,1958-08,1959-02
Han Revival 231,Contemporary,Han Revival,Steppe,Eurasia,Inner Eurasia,CONTEMPORARY WORLD,Contemporary,Late,1962,1962,1962-03-20,1962-11-05,1962 Q1,1962 Q4,1962-03,1962-11
Yamato Shogunate 232,Contemporary,Yamato Shogunate,Oceania,Pacific,Austral Pacific,CONTEMPORARY WORLD,Contemporary,Early,1965,1966,1965-10-04,1966-06-28,1965 Q4,1966 Q2,1965-10,1966-06
Deccan Empire 233,Contemporary,Deccan Empire,Americas,Americas,Western Hemisphere,CONTEMPORARY WORLD,Contemporary,Middle,1968,1969,1968-05-15,1969-03-15,1968 Q2,1969 Q1,1968-05,1969-03
Bengal Maritime League 234,Contemporary,Bengal Maritime League,Europe,Europe,Western Eurasia,CONTEMPORARY WORLD,Contemporary,Late,1972,1973,1972-12-26,1973-12-02,1972 Q4,1973 Q4,1972-12,1973-12
Malay Sultanate 235,Contemporary,Malay Sultanate,East Asia,Asia,Eastern Asia,CONTEMPORARY WORLD,Contemporary,Early,1975,1976,1975-07-10,1976-07-22,1975 Q3,1976 Q3,1975-07,1976-07
Javan Principalities 236,Contemporary,Javan Principalities,South Asia,Asia,Indian Subcontinent,CONTEMPORARY WORLD,Contemporary,Middle,1979,1980,1979-02-21,1980-04-11,1979 Q1,1980 Q2,1979-02,1980-04
Austral Dominion 237,Contemporary,Austral Dominion,Middle East,Afro Eurasia,Near East,CONTEMPORARY WORLD,Contemporary,Late,1982,1983,1982-09-05,1983-12-01,1982 Q3,1983 Q4,1982-09,1983-12
Pacific Archipelago Council 238,Contemporary,Pacific Archipelago Council,Sub Saharan Africa,Africa,Central and Southern Africa,CONTEMPORARY WORLD,Contemporary,Early,1985,1986,1985-04-16,1986-08-18,1985 Q2,1986 Q3,1985-04,1986-08
Baltic Trade Union 239,Contemporary,Baltic Trade Union,Steppe,Eurasia,Inner Eurasia,CONTEMPORARY WORLD,Contemporary,Middle,1989,1991,1989-11-27,1991-05-07,1989 Q4,1991 Q2,1989-11,1991-05
Rhine Compact 240,Contemporary,Rhine Compact,Oceania,Pacific,Austral Pacific,CONTEMPORARY WORLD,Contemporary,Late,1992,1993,1992-06-11,1993-12-26,1992 Q2,1993 Q4,1992-06,1993-12
Anatolian League 241,Contemporary,Anatolian League,Americas,Americas,Western Hemisphere,CONTEMPORARY WORLD,Contemporary,Early,1996,1997,1996-01-22,1997-09-13,1996 Q1,1997 Q3,1996-01,1997-09
Atlantic Republic 242,Contemporary,Atlantic Republic,Europe,Europe,Western Eurasia,CONTEMPORARY WORLD,Contemporary,Middle,1999,2001,1999-08-06,2001-05-04,1999 Q3,2001 Q2,1999-08,2001-05
Carpathian Kingdom 243,Contemporary,Carpathian Kingdom,East Asia,Asia,Eastern Asia,CONTEMPORARY WORLD,Contemporary,Late,2002,2004,2002-03-17,2004-01-20,2002 Q1,2004 Q1,2002-03,2004-01
Danube Federation 244,Contemporary,Danube Federation,South Asia,Asia,Indian Subcontinent,CONTEMPORARY WORLD,Contemporary,Early,2006,2008,2006-10-01,2008-09-11,2006 Q4,2008 Q3,2006-10,2008-09
Eurasian Khanate 245,Contemporary,Eurasian Khanate,Middle East,Afro Eurasia,Near East,CONTEMPORARY WORLD,Contemporary,Middle,2009,2011,2009-05-12,2011-05-30,2009 Q2,2011 Q2,2009-05,2011-05
Hellenic Commonwealth 246,Contemporary,Hellenic Commonwealth,Sub Saharan Africa,Africa,Central and Southern Africa,CONTEMPORARY WORLD,Contemporary,Late,2013,2016,2013-12-23,2016-02-16,2013 Q4,2016 Q1,2013-12,2016-02
Iberian Crown 247,Contemporary,Iberian Crown,Steppe,Eurasia,Inner Eurasia,CONTEMPORARY WORLD,Contemporary,Early,2016,2018,2016-07-07,2018-10-07,2016 Q3,2018 Q4,2016-07,2018-10
Levantine Sultanate 248,Contemporary,Levantine Sultanate,Oceania,Pacific,Austral Pacific,CONTEMPORARY WORLD,Contemporary,Middle,2019,2021,2019-02-18,2021-06-26,2019 Q1,2021 Q2,2019-02,2021-06
Maghreb Union 249,Contemporary,Maghreb Union,Americas,Americas,Western Hemisphere,CONTEMPORARY WORLD,Contemporary,Late,2023,2026,2023-09-02,2026-02-14,2023 Q3,2026 Q1,2023-09,2026-02
Nile Dynasty 250,Contemporary,Nile Dynasty,Europe,Europe,Western Eurasia,CONTEMPORARY WORLD,Contemporary,Early,2026,2028,2026-04-13,2028-11-01,2026 Q2,2028 Q4,2026-04,2028-11
